location,latitude,longitude,elevationMeters,bufferRadiusMeters,isHidden,trueCoordinates,comments,internal_wildtrax_id,internal_update_ts
OG-2-6-C,54.656561,-111.001736,,,Visible,t,,50392, 2021-03-24 09:39:18
OG-2-7-B,54.668101,-111.002357,,,Visible,t,,50396, 2021-03-24 09:39:18
OG-2-7-C,54.668927,-110.997116,,,Visible,t,,50397, 2021-03-24 09:39:18
OG-2-8-B,54.667651,-110.953098,,,Visible,t,,50401, 2021-03-24 09:39:18
OG-2-8-E,54.666695,-110.970743,,,Visible,t,,50404, 2021-03-24 09:39:18
OG-2-9-E,54.660910,-110.972000,,,Visible,t,,50409, 2021-03-24 09:39:18
RETN-3-4,54.499145,-118.905539,,,Visible,t,,31911, 2021-03-24 09:39:18
RS-19-NW,54.957438,-112.143097,,,Visible,t,,41318, 2021-03-24 09:39:18
RS-38-SE,57.445608,-111.384657,,,Visible,t,,387, 2021-03-24 09:39:18
WLNP-2-3,49.091170,-113.967180,,,Visible,t,,96225, 2021-10-08 01:09:27
AM-423-CT,55.816164,-110.578126,,,Visible,t,,34307, 2021-03-24 09:39:18
AM-423-NW,55.818921,-110.582900,,,Visible,t,,34309, 2021-03-24 09:39:18
AM-425-NE,55.931393,-111.142482,,,Visible,t,,34313, 2021-03-24 09:39:18
AM-426-NE,55.891998,-110.521149,,,Visible,t,,34318, 2021-03-24 09:39:18
AM-441-NW,55.162258,-111.774108,,,Visible,t,,34383, 2021-03-24 09:39:18
AM-442-CT,55.085589,-111.757743,,,Visible,t,,20212, 2021-03-24 09:39:18
AM-442-NW,55.088178,-111.761944,,,Visible,t,,20214, 2021-03-24 09:39:18
AM-442-SE,55.083004,-111.752838,,,Visible,t,,20215, 2021-03-24 09:39:18
AM-442-SW,55.082836,-111.762547,,,Visible,t,,20216, 2021-03-24 09:39:18
CHPP-WP-2,49.652720,-110.297380,,,Visible,t,,94518, 2021-09-30 06:16:20
OG-3-10-E,54.598483,-110.336215,,,Visible,t,,50414, 2021-03-24 09:39:18
OG-4-11-E,54.597756,-110.210571,,,Visible,t,,50429, 2021-03-24 09:39:18
OG-4-12-A,54.605549,-110.224571,,,Visible,t,,50430, 2021-03-24 09:39:18
OG-4-12-C,54.607782,-110.228105,,,Visible,t,,50432, 2021-03-24 09:39:18
OG-4-12-D,54.611714,-110.224531,,,Visible,t,,50433, 2021-03-24 09:39:18
OG-6-25-B,54.852112,-111.465240,,,Visible,t,,50455, 2021-03-24 09:39:18
OG-8-33-A,55.193179,-112.027417,,,Visible,t,,50490, 2021-03-24 09:39:18
OG-9-40-E,54.954639,-111.853453,,,Visible,t,,50505, 2021-03-24 09:39:18
S-E0-31-8,57.845220,-115.566872,,,Visible,t,,89132, 2021-08-24 22:21:59
WLNP-16-5,49.073562,-114.026041,,,Visible,t,,215250, 2022-01-31 16:11:52
WLNP-22-1,49.054273,-113.925520,,,Visible,t,,215260, 2022-01-31 16:12:42
OG-10-37-E,55.051832,-111.780993,,,Visible,t,,50521, 2021-03-24 09:39:18
OG-10-42-A,55.047422,-111.734343,,,Visible,t,,50527, 2021-03-24 09:39:18
